categoria,titulo,subtitulo
"Desporto","Mundial 2014. Altamente improvável que os dois papas vejam a final juntos","A final de domingo, apelidada já como a final dos dois papas, opõe os paises de ambos, Argentina (pais de Jorge Bergoglio, papa Francisco) e Alemanha (de Joseph Ratzinger, papa emérito Bento XVI)"
"Mercados","Acções do BES também foram suspensas","A CMVM decidiu suspender a negociaçao de acções do BES, numa altura em que perdiam mais de 17%, estando à espera de informaçao relevante."
"Mercados","Mercados em Zoom: Receios sobre a banca europeia alastram a Wall Street","Crise no GES leva investidores a questionarem a saude financeira do sistema bancário europeu. Aversao ao risco leva a refugio no ouro e no dolar. Juros da divida portuguesa continuam a agravar."
"Economia/Politica","Relatorio sobre reestruturaçao da divida nao representa o manifesto dos 74","O relatorio sobre a reestruturaçao da divida da autoria de Francisco Louça, Ricardo Cabral, Pedro Nuno Santos e Eugénia Pires nao representa o manifesto dos 74, disse hoje Francisco Louça durante a apresentaçao do documento."
"Economia/Politica","Menos americanos que o esperado pediram subsidios de desemprego","Menos norte-americanos que o esperado pediram subsidio de desemprego na semana passada, reforçando a confiança na recuperaçao do mercado laboral nos EUA."
"Economia/Politica","UGT diz que recebeu mensagem de tranquilidade de Carlos Costa","A UGT reuniu-se ontem com o Governador do Banco de Portugal para avaliar a situaçao do Banco Espirito Santo e garante que recebeu uma mensagem de tranquilidade quanto a uma possivel crise sistémica no sistema bancário português."
"Empresas/Finanças","Crise no GES: Meios internacionais destacam contágio a Portugal e à Europa","Jornais internacionais salientam os riscos que a crise no Grupo Espirito Santo representa para Portugal."
"Empresas/Finanças","Crise no GES é problema sistémico e reforça necessidade de reestruturar a divida","O economista Francisco Louça, um dos autores da proposta sobre reestruturaçao da divida, defende que a crise que o Grupo Espirito Santo (GES) está a atravessar já é um problema sistémico e reforça a necessidade de avançar com uma reestruturaçao da divida."
"Empresas/Finanças","Espanhol Liberbank afunda quase 8% depois de reconhecer exposiçao ao ESFG","O banco espanhol Liberbank anunciou hoje que detém uma participaçao de 1,92 milhões de acções no Espirito Santo Financial Group, principal accionista do BES."
"Empresas/Finanças","Alfândega do Porto quer ‘expulsar Autoridade Tributária","Serviços do Estado ainda ocupam mil metros quadrados. Associaçao que gere o edificio para meio milhao de euros de renda anual."
"Desporto","Tentativa de estrangulamento em jogo de futebol australiano","Uma agressao num jogo de futebol australiano está a gerar aceso debate. O agressor tentou estrangular o adversário. O caso chocou a comunidade de adeptos deste desporto, conhecido na Austrália como Aussie Rules e que implica o contacto fisico permanente entre jogadores."
"Mundo","F-16 faz razia sobre espectadores de festival aéreo na Gra-Bretanha","Num festival aéreo na Gra-Bretanha, um aviao de guerra fez uma razia sobre os espectadores. O F-16 preparava-e para aterrar quando passou sobre as cabeças de quem assistia."
"Mundo","Terceiro dia de raides israelitas sobre a Faixa de Gaza","Israel intensificou os bombardeamentos contra os palestinianos na Faixa de Gaza. O terceiro dia da ofensiva provocou pelo menos 22 mortos, elevando para 76 o total de mortos. É a resposta aos rockets do Hamas que continuam a cair em territorio israelita."
"Festivais de Verao","Festival Primavera Sound regressa ao Porto entre 4 e 6 de junho de 2015","O Primavera Sound vai regressar ao Parque da  Cidade, no Porto, entre os dias 4 e 6 de junho de 2015, anunciou hoje  a organizaçao do festival."
"Revolta na Ucrânia","Exército ucraniano às portas de Donetsk, cidade controlada pelos separatistas pro-russos","Blindados e tanques do exército ucraniano estao posicionados cerca de 20 km a sul de Donetsk, a grande cidade do leste controlada por rebeldes pro-russos."
"Economia","Quercus diz que medidas previstas pela Comissao para a Fiscalidade Verde sao muito positivas","A Quercus considera que as medidas previstas na reforma da fiscalidade verde sao muito positivas e vao ao encontro do que a associaçao ambientalista tem pedido."
"Economia","Vitor Bento quer manter Amilcar Morais Pires no BES","O novo lider do banco Espirito Santo já está a trabalhar apesar de ainda nao ter assumido formalmente o lugar. Ao que a SIC apurou, Vitor Bento quer manter Amilcar Morais Pires, o nome recusado pelo Banco de Portugal para suceder a Ricardo Salgado. Morais Pires tem liderado as negociações com o Estado angolano sobre a dificil situaçao do banco em Angola."
"Economia","Portugueses continuam a usar sacos de plástico mesmo que sejam pagos","O saco de plástico faz parte do dia a dia dos portugueses. Apesar de já ser pago em alguns supermercados, os clientes continuam a usá-lo , por ser mais prático."
"Economia","Medidas propostas pela Comissao para a Fiscalidade Verde vao sobrecarregar os portugueses com impostos","Para o bastonário da Ordem dos Técnicos Oficiais de Contas as medidas prospostas pela Comissao para a Fiscalidade Verde até têm alguns aspetos positivos, mas no essencial esquecem os verdadeiros poluidores e so vao sobrecarregar os portugueses com mais impostos."
"Pais","Duas médicas acusadas de falhar diagnostico de menino que acabou por morrer","Duas médicas do Hospital Maria Pia, no Porto, vao a tribunal por errarem no diagnostico de um menino de 11 anos que acabou por morrer. A acusaçao diz que a pediatra e a cirurgia nao valorizaram as queixas e nao fizeram os exames adequados."
"Desporto","Oliver Torres garante que está nos dragões para aprender","Oliver Torres assumiu hoje o papel de porta-voz da equipa do FC Porto. A jovem promessa espanhola garante que está nos dragões para aprender."
"Economia","Negociaçao das ações do BES suspensa apos perdas acima de 17%","O regulador dos mercados suspendeu a negociaçao das ações do BES, que estavam a cair mais de 17%. Também a Espirito Santo Financial Group, a maior accionista do BES, suspendeu a negociaçao das ações na bolsa de Lisboa e no Luxemburgo, a sede da empresa. Esta crise no grupo está a deixar os investidores muito nervosos e a fazer com que as bolsas caiam a pique."
"Desporto","Lewandowski apresentado como reforço do Bayern de Munique","Lewandowski foi ontem apresentado como reforço do Bayern de Munique, no dia em que arrancaram dos trabalhos da equipa de Pep Guardiola. Lewandowski vai vestir a camisola numero nove, que anteriormente pertenceu a Mario Mandzukic, que está a caminho do Atlético de Madrid. O jogador polaco assinou contrato por cinco temporadas. Antes do Bayern, jogou quatro temporadas no rival Borussia de Dortmund. Na conferência de imprensa de apresentaçao, Lewandowski explicou por que decidiu assinar pelo Bayern."
"Mundo","Busca em Portugal numa operaçao contra fraude na venda de material a Angola","Dez pessoas foram detidas numa operaçao em Espanha, Portugal e Luxemburgo por alegado envolvimento numa rede empresarial responsável por uma fraude de milhões de euros num contrato de venda de material policial a Angola."
"Seguranca","Casal encontrado morto a tiro no Seixal","Um homem e uma mulher, com idades entre os 40 e os 50 anos, foram encontrados mortos a tiro em Belverde, no Seixal."
"Cultura","Primavera Sound regressa ao Porto entre 4 e 6 de junho de 2015","O Primavera Sound vai regressar ao Parque da Cidade, no Porto, entre os dias 4 e 6 de junho de 2015, anunciou a organizaçao do festival."
"Seguranca","Pedida a condenaçao de todos os arguidos do caso Bragaparques","O Ministério Publico pediu, esta quinta-feira, a condenaçao do ex-presidente da Câmara de Lisboa Carmona Rodrigues e dos ex-vereadores Fontao de Carvalho e Eduarda Napoleao a penas até cinco anos de prisao, no âmbito do processo Bragaparques."
"Mundo","França e Alemanha pedem à Russia para pressionar separatistas","O Presidente da França, François Hollande e a chanceler alema, Angela Merkel, voltaram a pedir ao presidente russo para pressionar os separatistas ucranianos a negociar, informou o gabinete do chefe de Estado francês."
"Mundo","Funcionário de hotel destroi Lamborghini de cliente","Um funcionário de um hotel de cinco estrelas de Nova Deli, na india, causou hoje prejuizos de cerca de 245,000 euros depois de bater com um Lamborghini Gallardo de um cliente numa parede, informou o hotel."
"ultimas","Centros de Saude do Médio Tejo precisam de mais 20 médicos",?
"ultimas","PSI20 afunda quase 4% com todas as empresas a negociarem no vermelho",?
"ultimas","RTA rejeita falta de empenho e quer Rali de Portugal novamente no Algarve em 2016",?
"ultimas","Remoçao de amianto de escolas em maior risco resolvido no verao - ministro",?
"ultimas","Mais de um milhao de funcionários publicos britânicos em greve contra cortes",?
"ultimas","Homem e mulher encontrados mortos a tiro no Seixal",?
"ultimas","Espanha detém suspeitos de fraude em venda de material policial a Angola",?
"ultimas","Portugal registou subida de 9% de estudantes Erasmus a irem para fora em 2012-13",?
"ultimas","Tribunal absolveu ex-diretor da Cultura da Câmara de Lisboa e mais dois arguidos",?
"ultimas","Petro de Luanda no terreno do Libolo para testar lider do Girabola angolano",?
"ultimas","Projeto de maternidade nao afasta canoistas Beatriz e Helena da alta competiçao",?
"ultimas","Mundial2014: Altamente improvável que os dois papas vejam a final juntos",?
"ultimas","Monçao e Melgaço pedem reuniao urgente com ministra por causa do Alvarinho",?
"ultimas","Angola espera apoio de Portugal para criaçao de escola de tecnologias navais",?
"ultimas","BES: Fundo de investimento Baupost aumenta participaçao no banco para mais de 2%",?
"ultimas","BES: Juros da divida e bolsas afetados por situaçao no Grupo Espirito Santo - analistas",?
"ultimas","Juros da divida de Portugal acentuam subida em todos os prazos a meio da manha",?
"ultimas","Segredo do Arouca está no nucleo duro - Miguel Oliveira",?
"ultimas","Negocios nos serviços com subida homologa de 0,2% em maio - INE",?
"ultimas","Degradaçao do viaduto da Pampulha, em Lisboa, preocupa Junta e moradores",?
"Blogues","Sangue azul: Champalimaud explica Ricardo Salgado",?
"Blogues","O dilema do banqueiro",?
"Blogues","E Vitor Bento serve?",?
"Blogues","A PT sempre foi a vaca leiteira do BES",?
"Internacional","Rendeu-se o homem que terá morto os quatro filhos","O homem que alegadamente baleou mortalmente quatro filhos e dois adultos entregou-se à policia. A unica sobrevivente do tiroteio, também sua filha, ajudou a identificá-lo e a impedir mais mortes."
"Economia","A questao é: quanto é que o GES e os seus acionistas devem ao BES?","A situaçao nos mercados está descontrolada, o que exige açao rápida, diz Pedro Santos Guerreiro. A questao essencial é saber quanto é que o BES vai perder com a falência do Grupo Espirito Santo."
"Blogues","Um programa implausivel para a reestruturaçao da divida portuguesa",?
"Blogues","A ciência da incompetência","É praticamente impossivel ouvir-se no meio cientifico alguém que nao esteja em estado de choque com o aborto produzido pela primeira fase de avaliaçao dos centros de investigaçao. Mas estao enganados. Vivemos é num pais de incompetentes onde apenas o ministro sabe o que anda fazer. É por ser uma raridade que aos olhos dos restantes mortais parece so fazer disparates."
"Internacional","Cessar-fogo fora da agenda israelita","O primeiro-ministro israelita diz que os bombardeamentos a Gaza sao para continuar. O Presidente palestiniano acusa Israel de genocidio."
